JSF P/N,MFR P/N,NOMENCLATURE,SMR,EEL,TURN-IN,SERIALZED
1000495,1000495,ANGLE VLV ASSY,PAOZZN,NO,NO,NO
1000499,1000499,HOLDER & LATCH ASSY,PAOZZN,NO,NO,NO
1000896,1000896,PLATE COVER,PAOZZN,NO,NO,NO
1001191,1001191,VENT TANK,PAOZZN,NO,NO,NO
1001820,1001820,"REEL, GROUNDING",PAOZZN,NO,NO,NO
1002410,1002410,VALVE BALL V55,PAOZZN,NO,NO,NO
1008965,1008965,RECTIFIER BRIDGE,PAOZZN,NO,NO,NO
1011816,1011816,"FLIGHT JACKET,WMK L",PAOZZN,NO,NO,NO
1012093,1012093,O RING NECK BLOCK,PAOZZN,NO,NO,NO
1012710,1012710,O RING WRIST BLOCK,PAOZZN,NO,NO,NO
1013113,1013113,VALVE VACUUM RELIEF,PAOZZN,NO,NO,NO
1014230,1014230,THERMOCOUPLE TYPE K,PAOZZN,NO,NO,NO
1016600,1016600,"LAMP, 28 VOLT",PAOZZN,NO,NO,NO
1017560,1017560,SHACKLE,PAOZZN,NO,NO,NO
1019731,1019731,GAUGE FUEL LEVEL,PAOZZN,NO,NO,NO
1033478,1033478,RESISTOR 120 OHM,PAOZZN,NO,NO,NO
1033600,1033600,FAN RADIATOR,PAOZZN,NO,NO,NO
1033612,1033612,"VLVE,FLW REG",PAOZZN,NO,NO,NO
1034569,1034569,GAUGE MURPHY,PAOZZN,NO,NO,NO
1036069,1036069,COUPLING QD MALE,PAOZZN,NO,NO,NO
1036070,1036070,COUPLING QD FEMALE,PAOZZN,NO,NO,NO
1036239,1036239,DUST CAP,PAOZZN,NO,NO,NO
1036302,1036302,INVERTER V F D,PAOZZN,NO,NO,NO
1036610,1036610,RELAY 24VDC 2P,PAOZZN,NO,NO,NO
1038103,1038103,"VALVE, ANGLE",PAOZZN,NO,NO,NO
1038550,1038550,SIGHT GLASS SHIELD,PAOZZN,NO,NO,NO
1038807,1038807,HOSE PAO -20,PAOZZN,NO,NO,NO
1039046,1039046,HAND PUMP FLTR ASSY,PAOZZN,NO,NO,NO
1040286,1040286,SWITCH PRESSURE,PAOZZN,NO,NO,NO
1040971,1040971,HOSE COOLNT OUTLET,PAOZZN,NO,NO,NO
1042323,1042323,LAMP ASSY YELLOW,PAOZZN,NO,NO,NO
1042616,1042616,SWITCH 2-POS SELEC,PAOZZN,NO,NO,NO
1043801,1043801,MODULE CANOPEN VFD,PAOZZN,NO,NO,NO
1044239,1044239,CONN DSUB 9PIN FEM,PAOZZN,NO,NO,NO
1045164,1045164,SENSOR COOLANT LVL,PAOZZN,NO,NO,NO
1048418,1048418,RADIATOR/CAC ASSY,PAOOOP,NO,YES,NO
1048702,1048702,STRAINER 75 MICRON,PAOZZN,NO,NO,NO
1051009,1051009,CONVERTER TEMP SGNL,PAOZZN,NO,NO,NO
1053747,1053747,RIM TIRE TUBE ASSY,PAOZZN,NO,NO,NO
1057009,1057009,RTD 100 OHM 1/2,PAOZZN,NO,NO,NO
1057796,1057796,DISPLAY PLC,PAOZZN,NO,NO,NO
1058946,1058946,EMI VENT PNL PKG,PAOZZN,NO,NO,NO
1060897,1060897,GASKET RUBBER,PAOZZN,NO,NO,NO
1061277,1061277,RECEPTACLE 200A,PAOZZN,NO,NO,NO
1061907,1061907,VALVE RELIEF,PAOZZN,NO,NO,NO
1062340,1062340,ADPTR FLR W/PIN,PAOZZN,NO,NO,NO
1063078,1063078,PUMP VAC 11.2 CFM,PAOZZN,NO,NO,NO
1063533,1063533,DESICCANT COMP AIR,PAOZZN,NO,NO,NO
1063737,1063737,FILTER COALESCG F12,PAOZZN,NO,NO,NO
1063738,1063738,FILTER 5 MICRON F11,PAOZZN,NO,NO,NO
1063739,1063739,FLTR-REGULATOR V27,PAOZZN,NO,NO,NO
1063817,1063817,TRNSDCER MSRING,PAOZZN,NO,NO,NO
1064624,1064624,DRAWBAR RING,PAOZZN,NO,NO,NO
1064689,1064689,MOUNT BASE,PAOZZN,NO,NO,NO
1064690,1064690,HEAD WASHER MOUNT,PAOZZN,NO,NO,NO
1064691,1064691,TAIL WASHER MOUNT,PAOZZN,NO,NO,NO
1065854,1065854,SELECT SWITCH 3 POS,PAOZZN,NO,NO,NO
1065878,1065878,PUSHBUTTON EMERG BS,PAOZZN,NO,NO,NO
1065995,1065995,BLOCK MOUNT,PAOZZN,NO,NO,NO
1066089,1066089,UNIVERSAL RECEPTCLE,PAOZZN,NO,NO,NO
1066090,1066090,WALL OUTLET FRAME,PAOZZN,NO,NO,NO
1066484,1066484,U-CHANNEL FIBGLASS,PAOZZN,NO,NO,NO
1066488,1066488,GAST FILTER ASSY,PAOZZN,NO,NO,NO
1066603,1066603,GFCI 240V,PAOZZN,NO,NO,NO
1067251,1067251,SUPPORT BAT CHNEL,PAOZZN,NO,NO,NO
1067819,1067819,FUEL ENG OUT LINE,PAOZZN,NO,NO,NO
1067852,1067852,BOX FUSE 6 CIRCUITS,PAOZZN,NO,NO,NO
1067900,1067900,CAP FLARE (MOD),PAOZZN,NO,NO,NO
1067944,1067944,ENG SOLENOID 12V,PAOZZN,NO,NO,NO
1068039,1068039,HINGE,PAOZZN,NO,NO,NO
1068080,1068080,VENT EMI LARGE,PAOZZN,NO,NO,NO
1068091,1068091,VENT EMI SMALL,PAOZZN,NO,NO,NO
1068516,1068516,THERMOSTAT DISC,PAOZZN,NO,NO,NO
1069256,1069256,PANEL EMI MOUNT,PAOZZN,NO,NO,NO
